# "Loading... ","加载中... "
"Quickstart guide","快速入门指南","b"
"Control panel","控制面板","b"
"Dwarf Fortress","矮人要塞","c"
"Histories of Greed and Tenacity","贪婪与韧性的编年史","c"
"Histories of Greed and Toil","贪婪与辛劳的编年史","c"
"Histories of Jealousy and Mettle","嫉妒与勇气的编年史","c"
"Histories of Avarice and Exertion","贪婪与努力的编年史","c"
"Histories of Gluttony and Diligence","暴食与勤奋的编年史","c"
"Histories of Gluttony and Exertion","暴食与努力的编年史","c"
"Histories of Avarice and Dynamism","贪婪与活力的编年史","c"
"Histories of Jealousy and Resourcefulness","嫉妒与智谋的编年史","c"
"Histories of Jealousy and Tenacity","嫉妒与韧性的编年史","c"
# "Virtual keyboard for typing with the mouse.",""
"World name","世界名称"
"Nearest site: 0/0 day's travel NW","最近的位置: 西北{d}/{d}天的旅程"
"Nearest site: 0/0 day's travel NE","最近的位置: 东北{d}/{d}天的旅程"
"Nearest site: 0/0 day's travel SE","最近的位置: 东南{d}/{d}天的旅程"
"Nearest site: 0/0 day's travel SW","最近的位置: 西南{d}/{d}天的旅程"
"Nearest site: 0 day's travel west","最近的位置: 西方{d}天的旅程"
"Nearest site: 0 day's travel north","最近的位置: 北方{d}天的旅程"
"Nearest site: 0 day's travel east","最近的位置: 东方{d}天的旅程"
"Nearest site: 0 day's travel south","最近的位置: 南方{d}天的旅程"
"Nearest site: 0 day's travel NE","最近的位置: 东北方{d}天的旅程"
"Nearest site: 0 day's travel NW","最近的位置: 西北方{d}天的旅程"
"Nearest site: 0 days' travel SE","最近的位置: 东南方{d}天的旅程"
"Nearest site: 0 days' travel SW","最近的位置: 西南方{d}天的旅程"
"Nearest site: A day's travel west","最近的位置: 西方一天的旅程"
"Nearest site: A day's travel north","最近的位置: 北方一天的旅程"
"Nearest site: A day's travel east","最近的位置: 东方一天的旅程"
"Nearest site: A day's travel south","最近的位置: 南方一天的旅程"
"Nearest site: A day's travel NE","最近的位置: 东北方一天的旅程"
"Nearest site: A day's travel NW","最近的位置: 西北方一天的旅程"
"Nearest site: A day's travel SE","最近的位置: 东南方一天的旅程"
"Nearest site: A day's travel SW","最近的位置: 西南方一天的旅程"
"Nearest site: A short trip SW","最近的位置: 向西南走一小段路"
"Nearest site: A short trip NE","最近的位置: 向东北走一小段路"
"Nearest site: A short trip SE","最近的位置: 向东南走一小段路"
"Nearest site: A short trip NW","最近的位置: 西北北走一小段路"
"Nearest site: A short trip south","最近的位置: 向南方走一小段路"
"Nearest site: A short trip east","最近的位置: 向东方走一小段路"
"Nearest site: A short trip north","最近的位置: 向北方走一小段路"
"Nearest site: A short trip west","最近的位置: 向西方走一小段路"
"More than a day's travel","超过一天的旅行"
"Nearly a day's travel","差不多一天的旅行"
"A half day's travel","半天的旅行"
"A thousand","一千"
"A few hundred","几百"
"Two thousand","两千"
"Three thousand","三千"
"Hundreds","数以百计"
"Elves","精灵"
"Humans","人类"
"Goblins","哥布林"
"Hostile, a few hundred","敌对, 几百"
"Hostile, a thousand","敌对, 一千"
"Hostile, three thousand","敌对, 三千"
"Hostile, four thousand","敌对, 四千"
"Hostile, five thousand","敌对, 五千"
"Alerts (0 of 0)","警报 ({d} of {d})"
"This is an example urgent alert!","这就是一个紧急警告."
"These are very important.","这些都很重要."
"Ignore them at","忽视它们会非常危险."
"your peril.",""
"Dismiss the large red alert","解除大范围红色警戒"
"You can recenter on certain announcements.","你可以重新定位某些通告."
"Right click to close.","点击右键关闭."
"Important and sometimes urgent information is given as alerts on the left side of the screen. There has been one already!","重要且有时是紧急的信息会在屏幕左侧以警报的形式显示.\n已经有一个了!","s"
"Hover over an alert icon to see the information. Left click on an alert for recentering options, and right click to dismiss an alert.","把鼠标停留在警告标签上来查看详细信息.\n左键单击以打开警报,右键单击以关闭警报.","s"
"Preparing for the Caravan (0 of 0)","为商队的到来做好准备 ({d} of {d})","c"
"0th Granite","花岗岩月{d}日"
"You may need supplies before the coming of winter. To trade with the autumn caravan, you must build a Trade Depot from the Build menu.","在冬日到来前你可能需要一些补给. 为了和秋天的商队交易,\n你必须从\a#D79B2D建造\a菜单里建造一个\a#D79B2D贸易站\a.","s"
"You need something of value to trade. Crafts are an easy way to make a lot of trade goods quickly. Make the appropriate workshop with Workshops -> Crafts.","要交易,你就得有有价值的东西.\n\a#F1E111工艺品\a是最容易且快速制造的大量货物.\n在\a#E811FF工坊\a->\a#E811FF工艺品\a选单中建立合适的工坊.","s"
"An obvious material to use to make the crafts is rock. If you dig down enough layers you will find a near infinite amount of Boulders of various kinds as well as some Rough Gems if you are lucky.","制作这些工艺品的一种明显的材料是岩石.\n如果你挖的足够深, 那么你就会发现近乎无限的各类\a#FFE111矿石\a,\n如果你幸运的话还有一些\a#FFE111宝石原料\a.","s"
"Gems can be Cut at the Jeweler's Workshop. Encrust them on Crafts and other items to add even more value.","\a#C0C0C0可以在\a\a#D79B2D珠宝工坊\a\a#12FECF切割\a\a#FFE111宝石\a\a#C0C0C0. 将他们镶嵌在工艺品或者其他物品上来增加更多的价值.\a","s"
"Just the beginning","这才刚刚开始","c"
"There's a lot more to learn!","要学的还有很多呢!"
"As you enter new menus, there will be information and tips.","信息和提示会在打开新菜单时出现."
"The Help button at the top of the screen contains more guides. Click it now, and this tutorial will be concluded.","屏幕上方的\a#E811FF帮助\a按钮有更多指南. 点击将结束教学.","s"
"Click the help button","点击帮助"
"Military","军事"
"Trade","贸易"
"[Completed]","[完成]"
"The game is open-ended and you can do whatever you choose.","这个游戏是开放式结局的, 你可以随心所欲."
"If you'd like a goal, try to join a village hearth and improve your reputation.","如果你实在想要一个目标的话, 去加入一个村庄, 然后提高你的声誉."
"If you'd like a goal, try to become a barony, then a Mountainhome.","如果你实在想要一个目标的话, 先成为一个领主, 然后建立一个山居."
"More likely, your dwarves will starve, unless you read the first few guides here!","更有可能的是, 不看前几条说明的话, 你的矮人会挨饿!"
"And remember: Losing is fun, and now it's personal!","且请牢记: \a#13FD65输了才好玩\a, 而且这回只输你一人!","s"
"And remember: Losing is fun!","且请牢记: \a#13FD65输了才好玩!\a","s"
"Last save: ","上次保存：","b"
"0 mins ago","{d} 分钟前","b"
"Here you can see every Item in the fortress. Click on category headings to collapse and expand them.","在这里你可以看到要塞中的所有\a#FFE111物品\a.\n单击类别标题折叠并展开它们.","s"
"If you don't have a Bookkeeper, or they don't have an Office to work in, numbers may be approximate.","如果你没有一位\a#A73CD5簿记员\a, 或者他没有一间用来工作的\a#71BBB0办公室\a,\n那么你库存中显示的数量将是模糊的大概的.","s"
"Animal traps","动物陷阱"
"ammunition","弹药"
"Ammunition","弹药"
"Amulets","护身符"
"amulet","护身符"
"Are you sure?","你确定么?","c"
"Are you sure you want to restore Enabled defaults for gameplay tools?","你确定要还原已启用默认值用于游戏工具吗？"
"Show up and down arrows over ramps at the current elevation.","在当前高度处的斜坡上\n显示向上和向下箭头.","s"
"Recenter on the deepest discovered area at this location.","在这个位置上,\n将中心放在最深的被发现区域.","s"
"Display water and magma depth numerically (0 to 0.)","使用数字({d}-{d})\n显示水和岩浆的深度.","s"
"Dig a regular hallway or room.  Assign a miner to the work detail if necessary.","挖一个普通的走廊或房间.\n如果有必要的话,\n给工作细节分配一个矿工.","s"
"The miner requires a pick.","矿工需要一个镐."
"Dig a stairwell on this level, going up or down.  Your selection must span multiple elevations.  Click on a tile, change elevations, and click again.","在这一层挖一个楼梯间,\n向上或向下.\n您的选择必须跨越多个高程.\n点击一个图块,更改海拔,\n然后再次点击.","s"
"Designate constructed walls, floors, and other constructed tiles to be removed by miners.  This also designates all stairwells and ramps.","指定建造的墙壁,\n地板和其他建造的瓷砖,\n由矿工拆除.\n这也指定了所有楼梯间和坡道.","s"
"Mark for uninterrupted digging through damp or warm tiles.","标记用于不间断挖掘\n穿过潮湿或温暖的图块.","s"
"Smooth a rough wall to make it more pleasing to your citizens.  This also prepares the wall for engraving or fortification.","将粗糙的墙壁打磨平整,\n让您的市民更满意.\n这也为雕刻或防御工事准备了墙壁.","s"
"Carve a track in a stone floor.  Tracks are used by minecarts with routes set in the hauling menu.","在石头地板上雕刻一条轨道.\n轨道由矿车使用,\n其路线在运输菜单中设置.","s"
"Carve a gap in a smooth wall to allow your archers to fire upon invaders.","在光滑的墙壁上开出一个缺口,\n让您的弓箭手可以向入侵者射击.","s"
"Open mass removal interface.","打开批量移除界面."
"Mass Remove","批量移除","c"
"Start painting a new stockpile.  Once the tiles are chosen, you'll be able to set the details.","开始画一个新的库存.\n一旦选择了瓷砖,你就可以设置细节.","s"
"This crucial building is where all trading will be done.  Pack animals from distant civilizations will need to access this building from the edge of the map.  Later, wagons will need a clear 0-wide path to the depot.","这座关键的建筑是所有贸易的地方.\n来自遥远文明的驮运动物\n将需要从地图的边缘进入这个建筑.\n后来, 马车将需要一条清晰的\n{d}米宽的小路通往车厂.","s"
"A useful workshop for pressing liquids from various sources. Some plants might need to be milled first before they can be used.","一个能够将各种素材压榨成液体的有用工坊,\n某些植物则需要预先碾磨才能使用.","s"
"Empty jugs are required to store the liquid products.","制成的液体需要用空壶来装."
"Amount needed: 0","所需数量: {d}"
"Dist: 0","距离: {d}"
"Click in the play area to paint the stockpile.","点击游玩区域来划定储物区."
"Accept","接受","c"
"Ornamental.","装饰品."
"Demanded",""
"by some nobles.","一些贵族需要它们."
"Toggle enabled","启用切换","b"
"Show full tool help or run custom command","显示完整工具帮助或执行自定义命令","b"
"Automatically butcher excess livestock.","自动屠宰超出需求的牲畜"
"Open Combat Log","打开战斗日志","b"
"Better Combat Log","优化战斗日志","b"
"Combat Log","战斗日志"
"Relations","关系"
"Groups","组"
"Thoughts","想法"
"Personality","性格"
"Overview","概述"
"Items","项目"
"Health","健康"
"Rooms","房间"
"Skills","技能"
"Labor","劳动"
"Status","要塞总览"
"Wounds","伤处"
"Treatment","治疗"
"History","历史"
"Description","描述"
"Social","社会"
"Knowledge","知识"
"Other skills","其他技能"
"Work details","工作细节"
"Workshops","工坊"
"Locations","地点"
"Work animals","家畜"
"Traits","性格"
"Values","价值观"
"Needs","需要"
"Recent thoughts","近期想法"
"Memories","记忆"
"Squad","分队"
"Uniform","制式服装"
"Kills","击杀数"
"Work Details","工作细节"
"Standing orders","常务委员会"
"Stone use","石头用途"
"Written content","书写内容"
"Named objects","被命名的物品"
"Symbols","符号"
# "0 Years Old,","年龄：{d} 岁,"
"0 Years Old, F","年龄：{d} 岁, 女"
"0 Years Old, M","年龄：{d} 岁, 男"
"Make wooden chair","制作木椅"
"Fisherdwarf","捕鱼矮人"
"Sort units by professioncategory.","按专业类别对单位进行排序."
"Sort units by professionname.","按职业名称对单位进行排序."
"Cat","类别"
"Prof","职业"
"0% occupied","占用 {d}%"
"Open the general search and zoom interface.","打开通用搜索\n与缩放界面","s"
"Move selector up","向上移动选择器"
"Move selector down","向下移动选择器"
"Move selector left","向左移动选择器"
"Move selector right","向右移动选择器"
"Page selector up","页面选择器"
"Page selector down","页面选择器向下"
"Mouse-context scrollbar up","鼠标-上下文滚动条向上"
"Mouse-context scrollbar down","鼠标-上下文滚动条向下"
"Mouse-context scrollbar page up","鼠标-上下文滚动条向上翻页"
"Mouse-context scrollbar page down","鼠标-上下文滚动条向下翻页"
"Move keyboard cursor up","键盘光标向上移动"
"Move keyboard cursor down","键盘光标下移"
"Move keyboard cursor left","键盘光标左移"
"Move keyboard cursor right","键盘光标右移"
"Move keyboard cursor up and left","键盘光标向上和向左移动"
"Move keyboard cursor up and right","向上和向右移动键盘光标"
"Move keyboard cursor down and left","键盘光标向下和向左移动"
"Move keyboard cursor down and right","键盘光标向下和向右移动"
"Move keyboard cursor up, fast","向上移动键盘光标,快速"
"Move keyboard cursor down, fast","将键盘光标向下移动,快速"
"Move keyboard cursor left, fast","向左移动键盘光标,快速"
"Move keyboard cursor right, fast","向右移动键盘光标,快速"
"Move keyboard cursor up and left, fast","键盘光标向上和向左移动,快速"
"Information and guides","信息和指南"
"Survival","生存"
"Planting","种植"
"Other food sources","其他食物来源"
"Bins, bags, and barrels","箱子, 袋子和圆桶"
"Offices and administrative work","办公室和行政工作"
"Ore and smelting","矿石与熔炼"
"Traps and levers","陷阱和控制杆"
"Wells","井"
"Handling light aquifers","处理轻含水层"
"Clothing","服装"
"Meeting areas and locations","会议区域和地点"
"Ramps and channels","坡道和沟渠"
"Refuse and dumping","垃圾和倾倒"
"Dig deeper","向下再挖"
"Happiness and stress","幸福与压力"
"Goals","目标"
"Popup: Zones","弹窗:活动区"
"Popup: Burrows","弹窗:洞所"
"Popup: Hauling","弹窗:运输"
"Popup: Stocks","弹窗:库存"
"Popup: Work details","弹窗:工作信息"
"Popup: Nobles","弹窗:贵族"
"Popup: Justice","弹窗:司法"
"Popup: Squads","弹窗:小队"
"Popup: The world","弹窗:世界"
"Popup: Work orders","弹窗:工作清单"
"Gregarious","合群的"
"Values law","重视法律"
"Values loyalty","重视忠诚"
"Values family","重视家庭"
"Values friendship","重视友谊"
"Values power","重视权利"
"Values truth","重视真相"
"Values cunning","重视诡诈"
"Values eloquence","重视口才"
"Values fairness","重视公平"
"Values decorum","重视礼仪"
"Values tradition","重视传统"
"Values artwork","重视艺术作品"
"Values cooperation","重视合作"
"Values independence","重视独立"
"Values stoicism","重视恬淡寡欲"
"Values introspection","重视内省"
"Values self-control","重视自我控制"
"Values tranquility","重视安宁"
"Values harmony","重视和谐"
"Values merriment","重视狂欢"
"Values craftwork","重视手工艺品"
"Values martial prowess","重视武艺高强"
"Values skill","重视技能"
"Values hard work","重视勤劳"
"Values sacrifice","重视牺牲"
"Values competition","重视竞争"
"Values perseverance","重视坚持不懈"
"Values leisure time","重视闲暇时光"
"Values commerce","重视贸易"
"Values romance","重视爱情"
"Values nature","重视自然"
"Values peace","重视和平"
"Values knowledge","重视知识"
"Display all errorlogs on screen","在屏幕上显示所有错误日志"
"No unmet needs","需求均已满足"
"Squad: None","队伍：无"
"Citizen","居民"
"No official position","没有办公地点"
"Strong","强壮"
"Agile","敏捷"
"Tough","坚固的"
"High stamina","高耐力"
"Recovers quickly","快速恢复"
"Resists sickness","抵御疾病"
"Weak","弱"
"Clumsy","笨拙"
"Frail","虚弱"
"Low stamina","低耐力"
"Recovers slowly","缓慢恢复"
"Sickly","体弱多病"
"Good analytical ability","良好的分析能力"
"Good focus","不错的专注力"
"High willpower","高毅力"
"Creative","创意的"
"Good intuition","良好的直觉"
"Patient","病患"
"Good memory","过目不忘"
"Good with language","能言善辩"
"Good spatial sense","良好的空间感"
"Musical","音乐的"
"High kinesthetic sense","高的动觉"
"Developed empathy","同情心"
"High social awareness","强共情能力"
"Poor analytical ability","分析能力差"
"Poor focus","缺乏专注"
"Low willpower","毅力低下"
"Not creative","没有想象力的"
"Poor intuition","贫乏的直觉"
"Impatient","没有耐心的"
"Poor memory","健忘"
"Bad with words","不善言辞"
"Poor spatial sense","空间感差"
"Not musical","没有乐感"
"Poor kinesthetic sense","糟糕的身体感知能力"
"Poor empathy","缺乏同情"
"Poor social awareness","弱共情能力"
"Quick to love","容易陷入爱河的"
"Hateful","可恨"
"Envious","嫉妒的"
"Cheerful","开朗"
"Depression-prone","抑郁症"
"Anger-prone","易怒"
"Anxious","焦虑的"
"Lustful","好色"
"Easily stressed","容易紧张"
"Greedy","贪婪的"
"Intemperate","放纵的"
"Brawler","打手"
"Stubborn","顽固"
"Wasteful","浪费"
"Prone to discord","容易产生矛盾"
"Flatterer","奉承者"
"Polite","礼貌"
"Disdains advice","蔑视建议"
"Fearless","无畏的"
"Overconfident","过度自信"
"Vain","自负的"
"Ambitious","有雄心的"
"Gracious","和蔼的"
"Extravagant","挥霍的"
"Zany","滑稽的"
"Vengeful","复仇心重"
"Proud","骄傲"
"Cruel","残酷"
"Single-minded","内心单纯"
"Hopeful","希望"
"Curious","好奇的"
"Bashful","害羞"
"Private","私人"
"Perfectionist","完美主义者"
"Obstinate","固执"
"Tolerant","包容的"
"Emotional obsessive","强迫症"
"Swayed by emotions","情绪化的"
"Altruistic","无私的"
"Dutiful","孝顺"
"Thoughtless","轻率"
"Orderly","有条理"
"Trusting","信任的"
"Overbearing","咄咄逼人"
"Frenetic","狂热"
"Thrill-seeker","探险家"
"Flights of fancy","异想天开"
"Inclined to abstract","倾向于抽象的"
"Artistically inclined","有艺术倾向的"
"Slow to love","难以陷入爱河的"
"Slow to hate","不易仇恨他人"
"Not envious","不羡慕"
"Cheerless","高冷"
"Not easily depressed","乐观"
"Slow to anger","不轻易动怒"
"Not anxious","不焦虑"
"Not lustful","不好色. "
"Resilient","有适应力的"
"Not greedy","不贪心"
"Temperate","温和"
"Avoid fights","爱好和平"
"Quick to give up","轻易放弃"
"Not wasteful","不浪费"
"Seeks harmony","寻求和谐"
"Quarreler","争吵者"
"Rude","粗鲁的"
"Overreliant on advice","过度依赖他人的建议"
"Fearful","害怕的"
"Pusillanimous","胆小的"
"Not vain","淡薄名利"
"Not ambitious","安于现状"
"Ungrateful","忘恩负义"
"Austere","苦行者"
"Humorless","不苟言笑"
"Not vengeful","不计前嫌"
"Low self esteem","自卑"
"Merciful","仁慈的"
"Scatterbrained","心不在焉"
"Quick to despair","悲观"
"Incurious","无好奇心的"
"Shameless","无耻的"
"Overshares","喜欢分享自己的隐私信息"
"Inattentive","心不在焉"
"Acquiescing","默然"
"Intolerant","心胸狭窄"
"Emotionally distant","不愿深交"
"Unswayed by emotions","泰然自若"
"Not altruistic","非利他的"
"Not dutiful","敷衍了事"
"Overcautious","谨小慎微"
"Sloppy","马虎"
"Distrustful","多疑"
"Loner","孤僻"
"Unassertive","谦逊"
"Leisurely","从容"
"Avoids excitement","避免过度兴奋"
"Fact-oriented","事实导向"
"Not inclined to abstract","不倾向于抽象的"
"Not inclined to create art","不倾向于艺术创作"
"Harrowed","耙"
"Haggard","枯槁"
"Stressed","心力交瘁"
"Starving","饥饿"
"Hungry","饿"
"Dehydrated","脱水"
"Thirsty","渴"
"Very drowsy","很困"
"Drowsy","昏昏欲睡"
"Unconscious","无意识"
"Paralyzed","麻痹"
"Partially paralyzed","部分麻痹"
"Sluggish","呆滞"
"Stunned","震惊"
"Dizzy","头晕"
"Exhausted","累"
"Over-exerted","力竭"
"Tired","累"
"Drowning","溺水"
"Winded","冗长"
"Nauseous","恶心"
"Extreme pain","极度痛苦"
"Pain","痛苦"
"Numb","麻木"
"Pale","苍白"
"Faint","微弱"
"Fever","发烧"
"Heavy bleeding","大量出血"
"Bleeding","流血的"
"Webbed","被网缠住的"
"Partially webbed","部分被网缠住的"
"Seriously injured","重伤"
"Injured","受伤的"
"Healthy","健康的"
""I'm doing alright."",""我一切都还好。""
""I look splendid today."",,""我今天光彩照人。""
""Bravery is not a strength of mine."","勇敢不是我的力量。""
"No job","没有工作"
"Boulders","石材"
"Right upper leg","右大腿"
"Right hand","右手"
"Left hand","左手"
"Left lower arm","左前臂"
"Left upper arm","左上臂"
"Right upper arm","右上臂"
"Right lower arm","右前臂"
"Head","头部"
"Neck","脖子"
"Lower body","下半身"
"Upper body","上半身"
"Left upper leg","左大腿"
"Right lower leg","右小腿"
"Left lower leg","左小腿"
"Right foot","右脚"
"Left foot","左脚"
"Right eye","右眼"
"Left eye","左眼"
"Right ear","右耳"
"Left ear","左耳"
"Nose","鼻子"
"Throat","喉咙"
"Thumb","拇指"
"First finger","食指"
"Second finger","中指"
"Third finger","无名指"
"Fourth finger","小指"
"First toe","大脚趾"
"Second toe","第二脚趾"
"Third toe","第三脚趾"
"Fourth toe","第四脚趾"
"Fifth toe","第五脚趾"
"Mouth","嘴巴"
"Tongue","舌头"
"Left cheek","左脸颊"
"Right cheek","右脸颊"
"Left eyelid","左眼睑"
"Right eyelid","右眼睑"
"Lower lip","下唇"
"Upper lip","上唇"
"Upper front teeth","上门牙"
"Lower front teeth","下门牙"
"Lower right back teeth","右下臼齿"
"Upper right back teeth","右上臼齿"
"Lower left back teeth","左下臼齿"
"Upper left back teeth","左上臼齿"
"In Mouth","在嘴里"
"Hidden","不可见"
"Hauled","拖动"
"Multigrasp","多样化的"
"Wrapped around ","包起来 "
"Stuck in ","插入 "
"Sewn into ","缝入 "
"On head","头上"
"Left shoulder","左肩"
"Right shoulder","右肩"
"Disdains law","鄙弃法律"
"Disdains loyalty","鄙弃忠诚"
"Disdains family","鄙弃家庭"
"Disdains friendship","鄙弃友谊"
"Disdains power","鄙弃权利"
"Disdains truth","鄙弃真相"
"Disdains cunning","鄙弃诡计"
"Disdains eloquence","鄙弃口才"
"Disdains fairness","鄙弃公正"
"Disdains decorum","鄙弃礼仪"
"Disdains tradition","鄙弃传统"
"Disdains artwork","鄙弃艺术作品"
"Disdains cooperation","鄙弃合作"
"Disdains independence","鄙弃独立"
"Disdains stoicism","鄙弃恬淡寡欲"
"Disdains introspection","鄙弃自省"
"Disdains self-control","鄙弃自律"
"Disdains tranquility","鄙弃安宁"
"Disdains harmony","鄙弃和谐"
"Disdains merriment","鄙弃狂欢"
"Disdains craftwork","鄙弃手工艺品"
"Disdains martial prowess","鄙弃武艺高强"
"Disdains skill","鄙弃技能"
"Disdains hard work","鄙弃努力工作"
"Disdains sacrifice","鄙弃牺牲"
"Disdains competition","鄙弃竞争"
"Disdains perseverance","鄙弃坚持不懈"
"Disdains leisure time","鄙弃闲暇时光"
"Disdains commerce","鄙弃商业"
"Disdains romance","鄙弃爱情"
"Disdains nature","鄙弃自然"
"Disdains peace","鄙弃和平"
"Disdains knowledge","鄙弃知识"
"Furniture","家具"
"Doors/hatches","门/盖板"
"Constructions","建筑物"
"Machines/fluids","机械/流体"
"Cages/restraints","笼子/约束装置"
"Traps","陷阱"
"Trade depot","贸易站"
"Clothing and leather","衣物和皮革"
"Farming","农业"
"Furnaces","炉"
"Ashery","堆灰场"
"Bowyer","弓弩匠"
"Carpenter","木匠"
"Crafts","工艺"
"Jeweler","宝石匠"
"Magma forge","岩浆熔炉"
"Mechanic","机械师"
"Metalsmith","金工"
"Siege","攻城器械作坊"
"Stoneworker","石工"
"Glass furnace","玻璃窑"
"Kiln","黏土窑"
"Magma glass furnace","岩浆玻璃熔炉"
"Magma kiln","岩浆黏土窑"
"Magma smelter","岩浆熔炉"
"Smelter","熔炉"
"Wood furnace","烧木窑"
"Loom","织布工坊"
"Clothes","制衣作坊"
"Dyer","染色工"
"Farm plot","耕地"
"Still","蒸馏工坊"
"Butcher","屠夫"
"Tanner","制革工"
"Fishery","渔场"
"Kitchen","厨房"
"Farmer","农夫"
"Quern","手推磨"
"Vermin Catcher's Shop","害虫捕坊"
"Nest box","巢箱"
"Hive","蜂房"
"Bed","床"
"Chair","椅子"
"Table","桌子"
"Chest","箱子"
"Cabinet","橱柜"
"Burial","埋葬"
"Slab","板"
"Statue","雕像"
"Traction bench","牵引台"
"Bookcase","书架"
"Display","展示台"
"Offering place","供奉处"
"Instrument","乐器"
"Door","门"
"Hatch","盖板"
"Wall","墙"
"Floor","地板"
"Ramp","斜坡"
"Stairs","楼梯"
"Bridge","桥"
"Paved road","铺装道路"
"Dirt road","泥土道路"
"Fortification","城防垛口"
"Wall grate","墙壁格栅"
"Floor grate","地板格栅"
"Vertical bars","墙壁栅条"
"Floor bars","地板栅条"
"Glass window","玻璃窗"
"Gem window","宝石窗"
"Support","支柱"
"Track","跟踪"
"Track stop","轨道站点"
"Lever","控制杆"
"Well","井"
"Floodgate","水闸"
"Screw pump","螺杆泵"
"Windmill","风车"
"Gear assembly","齿轮组"
"Horizontal axle","传动横轴"
"Vertical axle","传动竖轴"
"Millstone","机械石磨"
"Rollers","滚动辊"
"Rope/chain","绳子/锁链"
"Cage","笼子"
"Animal trap","动物陷阱"
"Pressure plate","压力板"
"Stone-fall","落石"
"Weapon","武器"
"Upright weapon/spike","直立尖刺陷阱"
"Archery target","标靶"
"Weapon rack","兵器架"
"Armor stand","盔甲架"
"Ballista","床弩"
"Catapult","投石器"
"Disconnected","断开的"
"Stockpile #0","存储区域#{d}"
"Follow destiny or strike out on your own.","顺从天意，还是自己闯出一条路？"
"I'm curious.  Tell me everything!","我很好奇. 告诉我一切!"
"Has been sutured","已经缝合"
"Infection","感染"
"No evaluated wounds","没有评估过的伤口"
"In traction","牵引中"
"Severe blood loss","严重失血"
"Moderate blood loss","中度失血"
"Completely numb","完全麻木"
"Partially numb",".局部麻木"
"Slightly numb",".轻微麻木"
"Moderate fever","中度发热"
"Slight fever","轻微发热"
"Moderate pain",".中度疼痛"
"Slight pain",".轻度疼痛"
"Slumberous","平静的"
"Thirsty!","口渴!"
"Very hungry","非常饥饿"
"Cannot breathe","无法呼吸"
"Trouble breathing","呼吸困难"
"Vision lost","视力丧失"
"Vision impaired","视力受损"
"Vision somewhat impaired","视力有些受损"
"Ability to stand lost","直立能力丧失"
"Ability to stand somewhat impaired","直立能力有所受损"
"Ability to grasp lost","抓取能力丧失"
"Ability to grasp somewhat impaired","抓取能力有所受损"
"Ability to fly lost","飞行能力丧失"
"Ability to fly somewhat impaired","飞行能力有所受损"
"Motor nerve damage","运动神经受损"
"Sensory nerve damage","感官神经受损"
"No health problems","无健康问题"
"No treatment scheduled","未安排治疗"
"No medical history","没有病史"
"A short, sturdy creature fond of drink and industry.","一种矮而结实的生物,喜欢喝酒和劳作."
"No Study","不研究"
"No Quarters","没有宿舍"
"No Dining Room","没有餐厅"
"No Tomb","没有坟墓"
"Will do available tasks anywhere","完成可执行的所有工作"
"Will only do assigned tasks","只做分配的工作"
"Cannot assign work details","不能分配细活"
"No work details","没有工作细节"
"No dedicated workshop assignments","未分配专用工坊"
"No location assignments","未分配工作位置"
"Cannot assign work animals","无法分配工作动物"
"No assigned or assignable work animals","无指定或可指定的工作动物"
"No relationships","没有关系"
"Miners","矿工"
"Woodcutters","伐木工"
"Hunters","猎人"
"Planters","播种者"
"Fishermen","渔夫"
"Plant gatherers","植物采集者"
"Stonecutters","石匠"
"Engravers","雕刻师"
"Haulers","搬运工"
"Orderlies","护理员"
"Siege operators" = "攻城器操作员"
"Tavern keeper","酒保"
"Performer","表演"
"Scholar","学者"
"Scribe","抄写员"
"Mercenary","佣兵"
"Monster slayer","怪物杀手"
"Doctor","医生"
"Diagnostician","诊断医师"
"Surgeon","外科医师"
"Bone doctor","正骨医生"
"Pet","宠物"
"Pet owner","宠物主人"
"Spouse","伴侣"
"Mother","母亲"
"Father","父亲"
"Lover","恋人"
"Child","儿童"
"Bonded","亲密的"
"Childhood friend","儿时的朋友"
"War buddy","战友"
"Obsession","痴迷"
"Fellow scholar","研究员"
"Fellow artist","艺术家"
"Fellow athlete","运动员"
"Kindred spirit","同志"
"Close friend","亲密的朋友"
"Friend","朋友"
"Athletic rival","运动竞争对手"
"Business rival","商业竞争对手"
"Persecutor","虐待者"
"Religious persecutor","宗教迫害者"
"Grudge","怨恨"
"Jealous grudge","嫉恨"
"Supernatural vengeance","灵异复仇"
"Pure hate","非常讨厌"
"Hated","讨厌"
"Disliked","不喜欢"
"Deity","神祇"
"Force","力量"
"Object of worship","崇拜对象"
"Long-term acquaintance","老朋友"
"Passing acquaintance","普通朋友"
"Hero","英雄"
"Intruder","侵入者"
"Considers monster","怪物"
"Considers brigand","山贼"
"Considers bully","看作为恶霸"
"Considers preacher","传教士"
"Considers storyteller","说书人"
"Considers poet","诗人"
"Considers bard","吟游诗人"
"Considers dancer","舞者"
"Considers violent","精神暴力"
"Considers psychotic","精神病"
"Good for business","对买卖有利"
"Friendly terms","友善的条款"
"Considers killer","杀手"
"Considers murderer","谋杀犯"
"Comrade","同志"
"Member of respected group","受人尊敬的团体中的成员"
"Member of hated group","受人憎恶的团体中的一员"
"Enemy fighter","敌方战士"
"Friendly fighter","友军"
"Loyal soldier","忠诚士兵"
"Master","大师"
"Apprentice","学徒"
"Companion","伴侣"
"Former master","资深大师"
